NOC,Description,NOC_Description,Industry,Variable,Geographic Area,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
#1423,"Desktop publishing operators and related occupations						","#1423Desktop publishing operators and related occupations						",All Industries,Supply less Demand,South East,0,0,0,0,0,0,0,0,0,0,0
#1431,"Accounting and related clerks									","#1431Accounting and related clerks									",All Industries,Labour Force Demand,British Columbia,16685,16831,17011,17217,17418,17608,17824,18039,18235,18438,18619
#1431,"Accounting and related clerks									","#1431Accounting and related clerks									",All Industries,Labour Force Demand,Mainland South West,12114,12204,12330,12491,12654,12816,13000,13179,13332,13488,13625
#1431,"Accounting and related clerks									","#1431Accounting and related clerks									",All Industries,Labour Force Demand,Vancouver Island Coast,2005,2027,2041,2053,2071,2085,2101,2120,2142,2167,2192
#1431,"Accounting and related clerks									","#1431Accounting and related clerks									",All Industries,Labour Force Demand,North,785,791,804,817,824,827,829,832,835,835,832
#1431,"Accounting and related clerks									","#1431Accounting and related clerks									",All Industries,Labour Force Demand,South East,1781,1808,1836,1855,1869,1881,1895,1909,1926,1948,1970
#1431,"Accounting and related clerks									","#1431Accounting and related clerks									",All Industries,Labour Force Supply,British Columbia,16814,16975,17178,17421,17679,17885,18080,18263,18422,18577,18715
#1431,"Accounting and related clerks									","#1431Accounting and related clerks									",All Industries,Labour Force Supply,Mainland South West,12229,12332,12505,12719,12948,13135,13296,13435,13545,13651,13743
#1431,"Accounting and related clerks									","#1431Accounting and related clerks									",All Industries,Labour Force Supply,Vancouver Island Coast,2018,2032,2038,2049,2060,2069,2085,2106,2129,2153,2178
#1431,"Accounting and related clerks									","#1431Accounting and related clerks									",All Industries,Labour Force Supply,North,790,803,810,816,821,823,826,830,834,836,835
#1431,"Accounting and related clerks									","#1431Accounting and related clerks									",All Industries,Labour Force Supply,South East,1777,1808,1825,1837,1849,1859,1874,1892,1915,1937,1959
#1431,"Accounting and related clerks									","#1431Accounting and related clerks									",All Industries,Supply less Demand,British Columbia,129,144,167,204,261,277,256,223,188,139,96
#1431,"Accounting and related clerks									","#1431Accounting and related clerks									",All Industries,Supply less Demand,Mainland South West,115,127,175,228,295,319,296,256,213,163,117
#1431,"Accounting and related clerks									","#1431Accounting and related clerks									",All Industries,Supply less Demand,Vancouver Island Coast,13,5,-3,-5,-11,-16,-15,-13,-14,-14,-14
#1431,"Accounting and related clerks									","#1431Accounting and related clerks									",All Industries,Supply less Demand,North,5,11,6,-1,-3,-4,-4,-2,-1,1,3
#1431,"Accounting and related clerks									","#1431Accounting and related clerks									",All Industries,Supply less Demand,South East,-4,0,-11,-19,-19,-22,-21,-17,-11,-11,-11
#1432,"Payroll clerks											","#1432Payroll clerks											",All Industries,Labour Force Demand,British Columbia,4093,4132,4166,4206,4244,4286,4333,4379,4422,4470,4512
#1432,"Payroll clerks											","#1432Payroll clerks											",All Industries,Labour Force Demand,Mainland South West,3072,3107,3138,3174,3209,3247,3290,3331,3367,3407,3443
#1432,"Payroll clerks											","#1432Payroll clerks											",All Industries,Labour Force Demand,Vancouver Island Coast,498,503,506,509,512,514,517,521,525,530,535
#1432,"Payroll clerks											","#1432Payroll clerks											",All Industries,Labour Force Demand,North,82,84,85,87,87,88,88,89,89,88,87
#1432,"Payroll clerks											","#1432Payroll clerks											",All Industries,Labour Force Demand,South East,441,437,436,437,436,437,438,439,441,444,447
#1432,"Payroll clerks											","#1432Payroll clerks											",All Industries,Labour Force Supply,British Columbia,4120,4165,4208,4260,4313,4358,4400,4438,4471,4506,4537
#1432,"Payroll clerks											","#1432Payroll clerks											",All Industries,Labour Force Supply,Mainland South West,3097,3137,3183,3233,3284,3329,3365,3396,3421,3448,3473
#1432,"Payroll clerks											","#1432Payroll clerks											",All Industries,Labour Force Supply,Vancouver Island Coast,503,505,506,508,509,510,513,518,522,527,532
#1432,"Payroll clerks											","#1432Payroll clerks											",All Industries,Labour Force Supply,North,83,85,86,87,87,87,88,89,89,88,88
#1432,"Payroll clerks											","#1432Payroll clerks											",All Industries,Labour Force Supply,South East,437,438,434,433,432,432,433,436,439,442,444
#1432,"Payroll clerks											","#1432Payroll clerks											",All Industries,Supply less Demand,British Columbia,28,33,43,54,69,72,67,58,49,36,24
#1432,"Payroll clerks											","#1432Payroll clerks											",All Industries,Supply less Demand,Mainland South West,25,30,44,59,76,81,76,65,54,41,29
#1432,"Payroll clerks											","#1432Payroll clerks											",All Industries,Supply less Demand,Vancouver Island Coast,5,2,-1,-1,-2,-4,-4,-3,-3,-3,-3
#1432,"Payroll clerks											","#1432Payroll clerks											",All Industries,Supply less Demand,North,1,1,1,0,0,0,0,0,0,0,0
#1432,"Payroll clerks											","#1432Payroll clerks											",All Industries,Supply less Demand,South East,-4,1,-2,-4,-4,-5,-5,-4,-2,-2,-2
#1434,"Banking, insurance and other financial clerks							","#1434Banking, insurance and other financial clerks							",All Industries,Labour Force Demand,British Columbia,3486,3466,3490,3523,3566,3604,3655,3703,3745,3788,3829
#1434,"Banking, insurance and other financial clerks							","#1434Banking, insurance and other financial clerks							",All Industries,Labour Force Demand,Mainland South West,2699,2662,2673,2700,2735,2769,2813,2855,2891,2926,2958
#1434,"Banking, insurance and other financial clerks							","#1434Banking, insurance and other financial clerks							",All Industries,Labour Force Demand,Vancouver Island Coast,479,498,506,510,515,519,523,527,532,537,543
#1434,"Banking, insurance and other financial clerks							","#1434Banking, insurance and other financial clerks							",All Industries,Labour Force Demand,North,81,82,82,83,83,83,83,83,83,83,83
#1434,"Banking, insurance and other financial clerks							","#1434Banking, insurance and other financial clerks							",All Industries,Labour Force Demand,South East,227,225,228,230,232,233,236,238,240,242,245
#1434,"Banking, insurance and other financial clerks							","#1434Banking, insurance and other financial clerks							",All Industries,Labour Force Supply,British Columbia,3535,3507,3529,3570,3624,3666,3711,3752,3786,3818,3849
#1434,"Banking, insurance and other financial clerks							","#1434Banking, insurance and other financial clerks							",All Industries,Labour Force Supply,Mainland South West,2748,2702,2715,2751,2799,2838,2877,2910,2936,2961,2983
#1434,"Banking, insurance and other financial clerks							","#1434Banking, insurance and other financial clerks							",All Industries,Labour Force Supply,Vancouver Island Coast,480,497,505,509,513,515,519,524,529,534,540
#1434,"Banking, insurance and other financial clerks							","#1434Banking, insurance and other financial clerks							",All Industries,Labour Force Supply,North,80,83,83,83,83,82,82,83,83,83,83
#1434,"Banking, insurance and other financial clerks							","#1434Banking, insurance and other financial clerks							",All Industries,Labour Force Supply,South East,227,225,227,228,230,231,233,236,238,241,244
#1434,"Banking, insurance and other financial clerks							","#1434Banking, insurance and other financial clerks							",All Industries,Supply less Demand,British Columbia,49,40,40,47,58,62,56,49,41,31,21
#1434,"Banking, insurance and other financial clerks							","#1434Banking, insurance and other financial clerks							",All Industries,Supply less Demand,Mainland South West,48,40,42,51,64,69,63,55,46,35,25
#1434,"Banking, insurance and other financial clerks							","#1434Banking, insurance and other financial clerks							",All Industries,Supply less Demand,Vancouver Island Coast,1,-1,-2,-1,-3,-4,-4,-3,-3,-3,-3
#1434,"Banking, insurance and other financial clerks							","#1434Banking, insurance and other financial clerks							",All Industries,Supply less Demand,North,-1,1,1,0,0,0,0,0,0,0,0
#1434,"Banking, insurance and other financial clerks							","#1434Banking, insurance and other financial clerks							",All Industries,Supply less Demand,South East,0,1,-1,-2,-2,-3,-3,-2,-1,-1,-1
#1435,"Collectors											","#1435Collectors											",All Industries,Labour Force Demand,British Columbia,1337,1348,1366,1381,1398,1412,1430,1446,1460,1475,1489
#1435,"Collectors											","#1435Collectors											",All Industries,Labour Force Demand,Mainland South West,946,944,953,965,977,988,1003,1016,1026,1037,1046
#1435,"Collectors											","#1435Collectors											",All Industries,Labour Force Demand,Vancouver Island Coast,294,307,314,317,322,323,326,327,330,333,336
#1435,"Collectors											","#1435Collectors											",All Industries,Labour Force Demand,North,0,0,0,0,0,0,0,0,0,0,0
#1435,"Collectors											","#1435Collectors											",All Industries,Labour Force Demand,South East,97,97,98,99,100,100,102,103,104,105,107
#1435,"Collectors											","#1435Collectors											",All Industries,Labour Force Supply,British Columbia,1351,1359,1377,1397,1418,1433,1449,1463,1474,1485,1495
#1435,"Collectors											","#1435Collectors											",All Industries,Labour Force Supply,Mainland South West,956,955,967,983,1000,1013,1025,1036,1043,1050,1055
#1435,"Collectors											","#1435Collectors											",All Industries,Labour Force Supply,Vancouver Island Coast,299,307,313,316,320,321,323,326,328,331,334
#1435,"Collectors											","#1435Collectors											",All Industries,Labour Force Supply,North,0,0,0,0,0,0,0,0,0,0,0
#1435,"Collectors											","#1435Collectors											",All Industries,Labour Force Supply,South East,96,97,97,98,99,99,101,102,103,105,106
#1435,"Collectors											","#1435Collectors											",All Industries,Supply less Demand,British Columbia,14,11,12,16,20,21,19,17,14,10,7
#1435,"Collectors											","#1435Collectors											",All Industries,Supply less Demand,Mainland South West,11,11,14,18,23,25,23,20,17,13,9
#1435,"Collectors											","#1435Collectors											",All Industries,Supply less Demand,Vancouver Island Coast,4,0,-1,-1,-2,-3,-2,-2,-2,-2,-2
#1435,"Collectors											","#1435Collectors											",All Industries,Supply less Demand,North,0,0,0,0,0,0,0,0,0,0,0
#1435,"Collectors											","#1435Collectors											",All Industries,Supply less Demand,South East,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
#1451,"Library assistants and clerks									","#1451Library assistants and clerks									",All Industries,Labour Force Demand,British Columbia,2373,2328,2307,2314,2323,2334,2352,2371,2392,2416,2443
#1451,"Library assistants and clerks									","#1451Library assistants and clerks									",All Industries,Labour Force Demand,Mainland South West,1356,1326,1313,1321,1328,1338,1349,1362,1375,1391,1409
#1451,"Library assistants and clerks									","#1451Library assistants and clerks									",All Industries,Labour Force Demand,Vancouver Island Coast,431,406,394,391,391,393,396,400,406,412,418
